Ticker,Company name,CIK
AFL,Aflac Incorporated,0000004977
ALL,The Allstate Corporation,0000899051
AXP,American Express Company,0000004962
AIG,"American International Group, Inc.",0000005272
AMP,"Ameriprise Financial, Inc. ",0000820027
AON,Aon plc,0000315293
ACGL,Arch Capital Group LTD,0000947484
AJG,Arthur J. Gallagher & Co.,0000354190
AIZ,"Assurant, Inc.",0001267238
BAC,Bank Of America Corp,0000070858
BK,Bank of New York Mellon Corp,0001390777
BRK-B,Berkshire Hathaway Inc Class B,0001067983
BLK,"BlackRock, Inc.",0001364742
BX,Blackstone Inc.,0001393818
BRO,"Brown & Brown, Inc.",0000079282
COF,Capital One Financial Corp.,0000927628
CBOE,Cboe Global Markets Inc,0001374310 
SCHW,Charles Schwab Corporation,0000316709
CB,Chubb Ltd,0000896159
CINF,Cincinnati Financial Corporation,0000020286
C,Citigroup,0000831001
CFG,Citizens Financial Group Inc,0000759944
CME,CME Group Inc,0001156375
CMA,Comerica Inc,0000028412
CPAY,Corpay Inc,0001175454
DFS,Discover Financial Services ,0001393612
EG,"Everest Group, Ltd.",0001095073
FDS,FactSet Research Systems Inc. ,0001013237
FIS,"Fidelity National Information Services, Inc.",0001136893
FITB,Fifth Third Bancorp ,0000035527
FI,"Fiserv, Inc. ",0000798354
BEN,"Franklin Resources, Inc. ",0000038777
GPN,Global Payments Inc.,0001123360
GL,Globe Life Inc. ,0000320335
GS,"The Goldman Sachs Group, Inc.",0000886982
HIG,"The Hartford Financial Services Group, Inc.",0000874766
HBAN,Huntington Bancshares Incorporated,0000049196
ICE,"Intercontinental Exchange, Inc.",0001571949
IVZ,Invesco Ltd.,0000914208
JKHY,"Jack Henry & Associates, Inc.",0000779152
JPM,JPMorgan Chase & Co. ,0000019617
KEY,KeyCorp,0000091576
L,Loews Corporation,0000060086
MTB,M&T Bank Corporation,0000036270
MKTX,MarketAxess Holdings Inc.,0001278021
MMC,"Marsh & McLennan Companies, Inc. ",0000062709
MA,Mastercard Incorporated,0001141391
MET,"MetLife, Inc.",0001099219
MCO,Moody's Corporation,0001059556
MS,Morgan Stanley,0000895421
MSCI,MSCI Inc.,0001408198
NDAQ,"Nasdaq, Inc.",0001120193
NTRS,Northern Trust Corporation,0000073124
PYPL,"PayPal Holdings, Inc.",0001633917
PNC,"The PNC Financial Services Group, Inc. ",0000713676
PFG,"Principal Financial Group, Inc.",0001126328
PGR,The Progressive Corporation,0000080661
PRU,"Prudential Financial, Inc.",0001137774
RJF,"Raymond James Financial, Inc.",0000720005
RF,Regions Financial Corporation,0001281761
SPGI,S&P Global Inc. ,0000064040
STT,State Street Corporation,0000093751
SYF,Synchrony Financial,0001601712
TROW,"T. Rowe Price Group, Inc.",0001113169
TRV,"The Travelers Companies, Inc.",0000086312
TFC,Truist Financial Corporation,0000092230
USB,U.S. Bancorp,0000036104
V,Visa Inc.,0001403161
WRB ,W. R. Berkley Corporation,0000011544
WFC,Wells Fargo & Company,0000072971
WTW,Willis Towers Watson PLC,0001140536
